time_s,q_rad,q_deg,qd_rad,qd_deg,qdot_rad_s,qd_dot_rad_s,e_rad,edot_rad_s,tau_cmd_Nm,tq_cmd_permille,pos_counts
1.276088,1.702067,97.521240,0.288303,16.518519,0.008592,0.342427,-1.413764,0.333835,-21.039545,-1000.000000,88766
1.284127,1.702067,97.521240,0.290015,16.616617,0.008162,0.342427,-1.412052,0.334265,-21.013648,-1000.000000,88766
1.293138,1.702067,97.521240,0.291727,16.714715,0.007754,0.342427,-1.410340,0.334673,-20.987762,-1000.000000,88766
1.301140,1.702067,97.521240,0.293439,16.812813,0.007366,0.342427,-1.408628,0.335061,-20.961886,-1000.000000,88766
1.310107,1.702067,97.521240,0.295151,16.910911,0.006998,0.342427,-1.406916,0.335429,-20.936020,-1000.000000,88766
1.318177,1.702067,97.521240,0.296863,17.009009,0.006648,0.342427,-1.405204,0.335779,-20.910163,-1000.000000,88766
1.328189,1.702067,97.521240,0.298575,17.107107,0.006316,0.342427,-1.403491,0.336111,-20.884315,-1000.000000,88766
1.338361,1.702067,97.521240,0.300287,17.205205,0.006000,0.342427,-1.401779,0.336427,-20.858475,-1000.000000,88766
1.348194,1.702067,97.521240,0.302000,17.303303,0.005700,0.342427,-1.400067,0.336727,-20.832643,-1000.000000,88766
1.358538,1.702067,97.521240,0.303712,17.401401,0.005415,0.342427,-1.398355,0.337012,-20.806819,-1000.000000,88766
1.367074,1.702067,97.521240,0.305424,17.499499,0.005144,0.342427,-1.396643,0.337283,-20.781001,-1000.000000,88766
1.376185,1.702067,97.521240,0.307136,17.597598,0.004887,0.342427,-1.394931,0.337540,-20.755191,-1000.000000,88766
1.385140,1.702067,97.521240,0.308848,17.695696,0.004643,0.342427,-1.393219,0.337784,-20.729386,-1000.000000,88766
1.393366,1.702067,97.521240,0.310560,17.793794,0.004410,0.342427,-1.391506,0.338017,-20.703588,-1000.000000,88766
1.402111,1.702067,97.521240,0.312272,17.891892,0.004190,0.342427,-1.389794,0.338237,-20.677796,-1000.000000,88766
1.410165,1.702067,97.521240,0.313985,17.989990,0.003980,0.342427,-1.388082,0.338447,-20.652009,-1000.000000,88766
