time_s,q_rad,q_dot,q_ddot,tau_joint_Nm,tau_motor_load_Nm,tau_motor_rotor_Nm,tau_motor_friction_Nm,tau_motor_total_Nm
0.096,0.546759358042864,-0.3122254549474053,-0.6722388893216191,0.4176762153779598,0.00696127025629933,-0.015488384009970105,-0.024808051762299062,0.016280938008628287
0.098,0.5461365371072883,-0.3129295260493654,-0.8736058160705227,0.41324804944781096,0.00688746749079685,-0.020127878002264843,-0.024863092441763764,0.01162268193029577
0.1,0.5455106729825482,-0.3142330736194199,-1.0859446766714314,0.4086003157111268,0.006810005261852114,-0.02502016535050978,-0.024964981242417576,0.006754821153759909
0.10200000000000001,0.544880134957564,-0.3162532321870588,-1.2990635268757273,0.4039336563602519,0.0067322276060041986,-0.02993042365921676,-0.025122841377499313,0.0019246453242867528
0.10400000000000001,0.5442434427506788,-0.3190386067542974,-1.503710606325825,0.3994302028439876,0.006657170047399794,-0.03464549236974701,-0.02534041530095065,-0.0026479070213965665
0.106,0.5435992665096576,-0.3225759001703039,-1.6915743385560518,0.3952535760418568,0.006587559600697613,-0.038973872760331436,-0.025616585609269143,-0.006769727550364677
0.108,0.5429464268116887,-0.3267965405061315,-1.8552833309905452,0.3915488864354303,0.006525814773923838,-0.04274572794602217,-0.0259459030137453,-0.010274010158353029
0.11,0.5422838946633826,-0.33158330842936357,-1.9884063749451286,0.3884427342795954,0.0064740455713265905,-0.045812882878735764,-0.026319120301238133,-0.013019717006171043
0.112,0.5416135809649885,-0.33636797013180986,-2.116584858756454,0.38542876936780174,0.0064238128227966955,-0.048766115145748704,-0.026691880176592974,-0.015650422146359037
0.114,0.5409393691811343,-0.34060159512827237,-2.2906435153363702,0.38150341507620583,0.006358390251270097,-0.052776426593349975,-0.027021462717382306,-0.01939657362469757
0.116,0.5402586392840841,-0.34479198270472544,-2.4956820975533276,0.37695983061644855,0.0062826638436074755,-0.05750051552762867,-0.027347447608354038,-0.023870404075667158
0.11800000000000001,0.5395688306122647,-0.34928215736447443,-2.715696470575182,0.37211307132138977,0.006201884522023163,-0.0625696466820522,-0.02769649519929572,-0.028671266960733313
0.12,0.5388677422188769,-0.3543102540146468,-2.936930716907682,0.3672339306662842,0.006120565511104736,-0.067666883717553,-0.028087036993203852,-0.033459281213244416
0.122,0.538153532871896,-0.36002536569425847,-3.147877136395948,0.3625489407118876,0.006042482345198126,-0.07252708922256265,-0.02853052242625502,-0.03795408445110951
0.124,0.5374247210540715,-0.3665033913023594,-3.3392762462237044,0.3582403725545397,0.005970672875908995,-0.07693692471299415,-0.029032663146157767,-0.04193358869092739
0.126,0.536680184962927,-0.37376288332613705,-3.5041167809142735,0.35444623679292175,0.00590743727988203,-0.08073485063226486,-0.029594678307956444,-0.04523273504442638
0.128,0.5359191625107605,-0.3817808955689893,-3.6376356923301785,0.35126028401931697,0.005854338066988616,-0.08381112635128732,-0.030214540666495367,-0.04774224761780334
0.13,0.5351412513246441,-0.3905088308786593,-3.7373181496713244,0.3487320053411407,0.005812200089019012,-0.08610781016842732,-0.030888220943535737,-0.049407389135872566
0.132,0.5343489667839472,-0.39951322647588927,-3.8314470654045465,0.3463031772037855,0.005771719620063092,-0.08827654038692076,-0.031582052897202804,-0.05092276786965486
0.134,0.5335471952013311,-0.4077159845468987,-3.979302751238862,0.34280352286429205,0.005713392047738201,-0.09168313538854339,-0.03221304437142309,-0.0537566989693821
0.136,0.532731817345545,-0.41551630678724594,-4.151175634487714,0.3388183411779697,0.005646972352966162,-0.09564308661859694,-0.03281211440576729,-0.05718399985986349
0.138,0.5319000682681014,-0.4232978980550335,-4.329784787104074,0.3346878055465717,0.005578130092442861,-0.09975824149487789,-0.03340879300216546,-0.060771318400269565
0.14,0.5310497300118848,-0.4313346988355282,-4.50126797711502,0.3306847860392612,0.0055114131006543535,-0.10370921419273008,-0.03402402481046478,-0.06417377628161094
0.14200000000000002,0.530179131611151,-0.4398149836968416,-4.655181668621111,0.3270148502027936,0.005450247503379893,-0.10725538564503041,-0.0346720681159658,-0.06713307002568472
0.14400000000000002,0.5292871490915277,-0.4488654597455891,-4.784501021793318,0.3238162639162281,0.005396937731937135,-0.11023490354211805,-0.03536237274220325,-0.06947559306797765
0.146,0.5283732054700141,-0.45857536508250196,-4.885619892877969,0.32115999230289594,0.005352666538381599,-0.11256468233190842,-0.03610144127080707,-0.07111057452271975
0.148,0.5274372707549811,-0.4690205672581347,-4.958350834193567,0.31904970070832694,0.005317495011805449,-0.11424040321981979,-0.03689467248118935,-0.07202823572682499
0.15,0.5264798619461715,-0.4802876617284475,-5.005925094131243,0.3174217557477741,0.005290362595796235,-0.11533651416878384,-0.03774818219065454,-0.07229796938233306
0.152,0.5255038465813036,-0.4922336322361144,-5.055121485504458,0.3157479681472013,0.005262466135786689,-0.11646999902602272,-0.038650645846897896,-0.07255688704333813
0.154,0.5245150682551364,-0.5034219922668212,-5.170805688065826,0.3127481682693404,0.005212469471155673,-0.11913536305303664,-0.03949352109340347,-0.0744293724884775
0.156,0.5235073469017977,-0.5139478259774177,-5.300537953923936,0.30945621126825923,0.005157603521137654,-0.12212439445840749,-0.04028436621458884,-0.076682424722681
0.158,0.5224779798424121,-0.5241849744126599,-5.42742654010604,0.3062045891648144,0.005103409819413573,-0.12504790748404318,-0.041051516391346035,-0.07889298127328358
0.16,0.5214249286839121,-0.5344028414014059,-5.538731489943046,0.30324406103987267,0.005054067683997878,-0.1276123735282878,-0.041815217551244906,-0.08074308829304502
0.162,0.5203468193190397,-0.544795659579668,-5.625864633070364,0.30074365428259225,0.005012394238043204,-0.1296199211459412,-0.04258990803897094,-0.08201761886892706
0.164,0.5192429419263451,-0.5555117564137418,-5.6843895854281925,0.2987906659170889,0.004979844431951482,-0.13096833604826558,-0.043386457419101444,-0.08260203419721265
0.166,0.5181132509701878,-0.5666828202231802,-5.714021749261491,0.29739066401957187,0.004956511066992865,-0.13165106110298475,-0.04421436742191543,-0.08248018261407647
0.168,0.5169583652007355,-0.5784531662039463,-5.718628313120462,0.2964674892314406,0.004941124820524011,-0.13175719633429545,-0.0450839332926804,-0.08173213822109104
0.17,0.515779567653965,-0.5910090024514392,-5.706228251858789,0.29586325636742117,0.004931054272790353,-0.1314714989228265,-0.04600835839542511,-0.08053208625461103
